ID,English,Article,Swedish,Literal,Category,Image-path,Audio-path,Team01,Team02,Team03,Team04,Team05,Team06,Team07,Team08,Team09,Team10,Team11,Team13,Team14,Team15,Team16
292c5778,window,ett,fönster,,furniture,,,,I'm invisible and birds fly into me,,,,,,,,,,,,,
1b2d5670,door,en,dörr,,furniture,,,,,,,You can walk though me,,,,,,,,,,
196a2e09,blackboard,en,tavla,,furniture,,,,,,,,,,,,,,,,,
7e6c5812,table,ett,bord,,furniture,,,,,,,,,,,,,,,,,
031e117b,chair,en,stol,,furniture,,,,,,,,,,,,,,,,,
6d375947,zero,,noll,0,number,,,,,,,,,,,,,,,,,
29162632,one,,ett,1,number,,,,,,,,,,,,,,,,,
73202703,two,,två,2,number,,,,,,,,,,,,,,,,,
7d4e666c,three,,tre,3,number,,,,,,,,,,,,,,,,,
36211275,first,,första,1.,ordinal-number,,,,,,,,,,,,,,,,,
51085e77,second,,andra,2.,ordinal-number,,,,,,,,,,,,,,,,,
1e055517,third,,tredje,3.,ordinal-number,,,,,,,,,,,,,,,,,
1775693f,fourth,,fjärde,4.,ordinal-number,,,,,,,,,,,,,,,,,
1f780c21,fifth,,femte,5.,ordinal-number,,,,,,,,,,,,,,,,,
101c5e1d,sixth,,sjätte,6.,ordinal-number,,,,,,,,,,,,,,,,,
1431537c,seventh,,sjunde,7.,ordinal-number,,,,,,,,,,,,,,,,,
773e7806,eighth,,åttonde,8.,ordinal-number,,,,,,,,,,,,,,,,,
5d210e41,ninth,,nionde,9.,ordinal-number,,,,,,,,,,,,,,,,,
79152e28,tenth,,tionde,10.,ordinal-number,,,,,,,,,,,,,,,,,
5608397a,eleventh,,elfte,11.,ordinal-number,,,,,,,,,,,,,,,,,
30291c0b,twelfth,,tolfte,12.,ordinal-number,,,,,,,,,,,,,,,,,
5344105d,five minutes past,,Fem över,,time-text-minues,,,,,,,,,,,,,,,,,
4f192d3c,ten minutes past,,Tio over,,time-text-minues,,,,,,,,,,,,,,,,,
41331c49,quarter past,,Kvart över,,time-text-minues,,,,,,,,,,,,,,,,,
3b6c3160,it rains,,det regnar,,weather,,,,,,,,,,,,,,,,,
4043786f,it snows,,det snöar,,weather,,,,,,,,,,,,,,,,,
14707508,it is windy,,det blåser,,weather,,,,,,,,,,,,,,,,,
3501691b,it is sunny,,det är soligt,,weather,,,,,,,,,,,,,,,,,
27657a44,it is cloudy,,det är molnigt,,weather,,,,,,,,,,,,,,,,,
761f5c6a,Monday,,måndag,,day,,,,,,,,,,,,,,,,,
1d7e2e33,Tuesday,,tisdag,,day,,,,,,,,,,,,,,,,,
2331362b,Wednesday,,onsdag,,day,,,,,,,,,,,,,,,,,
01301227,January,,januari,,month,,,,,,,,,,,,,,,,,
4a0a7202,February,,februari,,month,,,,,,,,,,,,,,,,,
3d50140b,March,,march,,month,,,,,,,,,,,,,,,,,
31034e02,T-Shirt,en,t-shirt,,clothing,,,,,,,,,,,,,,,,,
0c1b5a68,sweater,en,tröja,,clothing,,,,,,,,,,,,,,,,,
0c613e21,a pair of jeans,ett,par jeans,,clothing,,,,,,,,,,,,,,,,,
657d5907,white,,vit,,color,,,,,,,,,,,,,,,,,
52145c35,yellow,,gul,,color,,,,,,,,,,,,,,,,,
6e45235f,red,,röd,,color,,,,,,,,,,,,,,,,,
